decision_id,decision_timestamp,agent_type,confidence,session_id,conversation_timestamp,source_path,winning_turn,score,score_margin,appears_unique,ambiguity,diagnostic_failure_mode
ms-5c3b8e12:d2,2026-05-29T13:50:00+00:00,claude-sonnet-4-6,No match,,,,,,0.0,True,,decision appears to have been created outside retained Codex conversation history
ms-a8d0fc47:d1,2026-06-14T07:33:00+00:00,claude,No match,,,,,,0.0,True,,decision appears to have been created outside retained Codex conversation history
ms-b72e3d40:d1,2026-05-29T14:19:00+00:00,claude,No match,,,,,,0.0,True,,decision appears to have been created outside retained Codex conversation history
mse_0d1tkp3nhnw4edra:d1,2026-09-06T15:15:00+00:00,codex,No match,01a05ef9-96eb-7232-a0d7-71cf48d55c3a,2026-09-03T21:34:22.473000+00:00,.codex/sessions/2026/09/03/rollout-2026-09-03T22-34-22-01a06931-bcab-7d21-aa13-6797877d7f87.jsonl,1,0.1989739653237448,0.0,True,,no sufficiently similar conversation window in the temporal candidate set
mse_0jqvb23gtregyt6t:d1,2026-07-28T08:30:00+00:00,claude,No match,,,,,,0.0,True,,decision appears to have been created outside retained Codex conversation history
mse_1gcbzv5w9cgw7bga:d1,2026-07-20T17:49:00+00:00,claude,No match,,,,,,0.0,True,,decision appears to have been created outside retained Codex conversation history
mse_25zzy3cmdjgrsf69:d4,2026-07-26T20:14:00+00:00,claude,No match,,,,,,0.0,True,,decision appears to have been created outside retained Codex conversation history
mse_4jbfzs490zcy9q06:d1,2026-08-31T16:44:00+00:00,codex,No match,01a0586d-acdd-7712-a9ac-cc47d26de49f,2026-08-31T15:26:17.993000+00:00,.codex/sessions/2026/08/31/rollout-2026-08-31T16-26-17-01a0586d-acdd-7712-a9ac-cc47d26de49f.jsonl,1,0.18593892191604347,0.0,True,,no sufficiently similar conversation window in the temporal candidate set
mse_76r59d5yxcqy0kb8:d2,2026-07-07T22:18:00+00:00,codex,Low,019f3d0f-e0d9-7f33-a335-ee1a679f0137,2026-07-07T14:51:23.674000+00:00,.codex/sessions/2026/07/07/rollout-2026-07-07T15-51-23-019f3d0f-e0d9-7f33-a335-ee1a679f0137.jsonl,1,0.2301553071928833,0.2301553071928833,True,,"decision wording may be rewritten, synthesized across turns, or weakly distinctive"
mse_7twxefmtphr30604:d1,2026-07-16T07:51:00+00:00,codex,Low,019f64ba-a828-7a83-909d-bef0998afdab,2026-07-15T07:43:07.213000+00:00,.codex/sessions/2026/07/15/rollout-2026-07-15T08-43-07-019f64ba-a828-7a83-909d-bef0998afdab.jsonl,1,0.2626837516909519,0.0,False,competitive second session,multiple conversations discuss similar material
mse_8vvw4cq8y114tarw:d3,2026-07-22T22:04:00+00:00,claude,No match,,,,,,0.0,True,,decision appears to have been created outside retained Codex conversation history
mse_992a3jfxfpnecpst:d1,2026-07-12T23:13:00+00:00,codex,No match,,,,,,0.0,True,,no sufficiently similar conversation window in the temporal candidate set
mse_9h3a9wybc2p0sfb6:d1,2026-09-14T01:31:00+00:00,codex,Low,01a09d7b-e85d-7032-9aa3-eaae80a389ce,2026-09-14T01:15:38.688000+00:00,.codex/sessions/2026/09/14/rollout-2026-09-14T02-15-38-01a09d7b-e85d-7032-9aa3-eaae80a389ce.jsonl,1,0.3665733257046119,0.06284780633841547,True,,"decision wording may be rewritten, synthesized across turns, or weakly distinctive"
